d	あ
s	い
e	う
a	え
f	お
hd	か
hs	き
he	く
ha	け
hf	こ
ld	さ
ls	し
le	す
la	せ
lf	そ
jd	た
js	ち
je	つ
ja	て
jf	と
kd	な
ks	に
ke	ぬ
ka	ね
kf	の
;d	は
;s	ひ
;e	ふ
;a	へ
;f	ほ
,d	ま
,s	み
,e	む
,a	め
,f	も
od	や
oe	ゆ
of	よ
id	ら
is	り
ie	る
ia	れ
if	ろ
ud	わ
uf	を
kk	ん
K	ん
k	ん
nd	が
ns	ぎ
ne	ぐ
na	げ
nf	ご
.d	ざ
.s	じ
.e	ず
.a	ぜ
.f	ぞ
md	だ
ms	ぢ
me	づ
ma	で
mf	ど
/d	ば
/s	び
/e	ぶ
/a	べ
/f	ぼ
pd	ぱ
ps	ぴ
pe	ぷ
pa	ぺ
pf	ぽ
wd	ぁ
ws	ぃ
we	ぅ
wa	ぇ
wf	ぉ
owd	ゃ
owe	ゅ
owf	ょ
hod	きゃ
hoe	きゅ
hof	きょ
hwd	きゃ
hwe	きゅ
hwf	きょ
l;d	しゃ
l;e	しゅ
l;f	しょ
.;d	じゃ
.;e	じゅ
.;f	じょ
lwd	しゃ
lwe	しゅ
lwf	しょ
.wd	じゃ
.we	じゅ
.wf	じょ
c;d	ちゃ
c;e	ちゅ
c;f	ちょ
jod	ちゃ
joe	ちゅ
jof	ちょ
jwd	ちゃ
jwe	ちゅ
jwf	ちょ
kod	にゃ
koe	にゅ
kof	にょ
kwd	にゃ
kwe	にゅ
kwf	にょ
yd	ふぁ
ys	ふぃ
ye	ふ
ya	ふぇ
yf	ふぉ
;od	ひゃ
;oe	ひゅ
;of	ひょ
/od	びゃ
/oe	びゅ
/of	びょ
pod	ぴゃ
poe	ぴゅ
pof	ぴょ
;wd	ひゃ
;we	ひゅ
;wf	ひょ
/wd	びゃ
/we	びゅ
/wf	びょ
pwd	ぴゃ
pwe	ぴゅ
pwf	ぴょ
,od	みゃ
,oe	みゅ
,of	みょ
,wd	みゃ
,we	みゅ
,wf	みょ
iod	りゃ
ioe	りゅ
iof	りょ
iwd	りゃ
iwe	りゅ
iwf	りょ
ww	っ
g	、
t	。
r	ー
hh	っ	h
nn	っ	n
ll	っ	l
..	っ	.
jj	っ	j
mm	っ	m
;;	っ	;
//	っ	/
pp	っ	p
,,	っ	,
oo	っ	o
ii	っ	i
uu	っ	u
yy	っ	y
	っ	hn
